Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,passage,RNAi_treatment,Condition,treatment
SRR1959037,RNA-Seq,51,3250865664,PRJNA257780,SAMN03468201,2876755672,peripheral blood mononuclear cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX984328,GSM1654531,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1654531,human peripheral blood mononuclear cells,SRP045355,,,stable coronary heart disease,
SRR1959038,RNA-Seq,51,2203886001,PRJNA257780,SAMN03468202,1952547674,peripheral blood mononuclear cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX984329,GSM1654533,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1654533,human peripheral blood mononuclear cells,SRP045355,,,stable coronary heart disease,
SRR1959039,RNA-Seq,51,2567129829,PRJNA257780,SAMN03468203,2280071648,peripheral blood mononuclear cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX984330,GSM1654535,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1654535,human peripheral blood mononuclear cells,SRP045355,,,stable coronary heart disease,
SRR1959040,RNA-Seq,51,2718447186,PRJNA257780,SAMN03468204,2417823437,peripheral blood mononuclear cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX984331,GSM1654537,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1654537,human peripheral blood mononuclear cells,SRP045355,,,stable coronary heart disease,
SRR1959041,RNA-Seq,51,2139324795,PRJNA257780,SAMN03468205,1879739257,peripheral blood mononuclear cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX984332,GSM1654540,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1654540,human peripheral blood mononuclear cells,SRP045355,,,healthy,
SRR1959042,RNA-Seq,51,2907805290,PRJNA257780,SAMN03468206,2577291149,peripheral blood mononuclear cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX984333,GSM1654542,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1654542,human peripheral blood mononuclear cells,SRP045355,,,healthy,
SRR1959043,RNA-Seq,51,2458969488,PRJNA257780,SAMN03468207,2161641929,peripheral blood mononuclear cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX984334,GSM1654544,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1654544,human peripheral blood mononuclear cells,SRP045355,,,healthy,
SRR1959044,RNA-Seq,51,2903102733,PRJNA257780,SAMN03468192,2576058038,peripheral blood mononuclear cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX984335,GSM1654546,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1654546,human peripheral blood mononuclear cells,SRP045355,,,healthy,
SRR1959045,RNA-Seq,51,2720663187,PRJNA257780,SAMN03468193,2408536305,peripheral blood mononuclear cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX984336,GSM1654548,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1654548,human peripheral blood mononuclear cells,SRP045355,,,chronic ischemic heart failure,
SRR1959046,RNA-Seq,51,2458847547,PRJNA257780,SAMN03468194,2177549987,peripheral blood mononuclear cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX984337,GSM1654550,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1654550,human peripheral blood mononuclear cells,SRP045355,,,chronic ischemic heart failure,
