Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,body_type,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tisse,ucp1_expression,AssemblyName
SRR8503302,RNA-Seq,250,14759586500,PRJNA517713,SAMN10841478,Lean,6094234889,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307226,GSM3583312,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583312,Adipose tissue,SRP182842,epicardial adipose,High UCP1 -eAT,
SRR8503303,RNA-Seq,250,10464050750,PRJNA517713,SAMN10841477,Lean,4072041268,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non-CAD,SRX5307227,GSM3583313,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583313,Adipose tissue,SRP182842,epicardial adipose,High UCP1 -eAT,
SRR8503304,RNA-Seq,250,14801535250,PRJNA517713,SAMN10841477,Lean,5663231587,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non-CAD,SRX5307227,GSM3583313,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583313,Adipose tissue,SRP182842,epicardial adipose,High UCP1 -eAT,
SRR8503305,RNA-Seq,250,10463359250,PRJNA517713,SAMN10841476,Lean,4032547202,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non-CAD,SRX5307228,GSM3583314,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583314,Adipose tissue,SRP182842,epicardial adipose,Low UCP1-eAT,
SRR8503306,RNA-Seq,250,13318764000,PRJNA517713,SAMN10841476,Lean,5503099551,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non-CAD,SRX5307228,GSM3583314,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583314,Adipose tissue,SRP182842,epicardial adipose,Low UCP1-eAT,
SRR8503307,RNA-Seq,250,16170117750,PRJNA517713,SAMN10841475,Lean,6380722639,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307229,GSM3583315,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583315,Adipose tissue,SRP182842,epicardial adipose,Low UCP1-eAT,
SRR8503308,RNA-Seq,250,15912597250,PRJNA517713,SAMN10841474,Obese,6192661110,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non-CAD,SRX5307230,GSM3583316,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583316,Adipose tissue,SRP182842,epicardial adipose,High UCP1 -eAT,
SRR8503309,RNA-Seq,250,14021265500,PRJNA517713,SAMN10841473,Lean,5468249126,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307231,GSM3583317,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583317,Adipose tissue,SRP182842,epicardial adipose,Low UCP1-eAT,
SRR8503310,RNA-Seq,250,18310222750,PRJNA517713,SAMN10841473,Lean,7016083863,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307231,GSM3583317,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583317,Adipose tissue,SRP182842,epicardial adipose,Low UCP1-eAT,
SRR8503311,RNA-Seq,250,14759019000,PRJNA517713,SAMN10841472,Obese,5784178024,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307232,GSM3583318,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583318,Adipose tissue,SRP182842,epicardial adipose,Low UCP1-eAT,
