,SRX5961261,SRX3266939
PSLT001,0,9
PSLT002,0,11
repC,0,635
repA3,0,2004
tap,0,0
repA,0,370
PSLT007,0,0
srgC,0,56
rcK,0,129
srgB,0,109
srgA,0,96
orf7,0,27
pefI,0,36
orf6,0,120
orf5,0,16
pefD,0,13
pefC,0,6
pefA,0,12
pefB,0,0
PSLT020,0,0
repA2,1,219
PSLT024,0,1
PSLT025,0,4
PSLT026,0,39
ccdA,0,81
ccdB,0,65
PSLT029,0,292
PSLT030,0,39
rsdB,0,167
PSLT032,0,55
PSLT033,2,38
PSLT034,0,4
spvD,0,81
PSLT036,0,12
spvD,0,0
spvC,0,0
spvB,1,0
spvA,0,9
spvR,0,7
PSLT042,0,7
PSLT043,0,172
rlgA,0,408
PSLT045,0,159
PSLT046,0,44
PSLT047,0,14
tlpA,0,398
PSLT049,0,44
PSLT050,0,3
samB,0,112
parA,0,129
parB,0,105
samB,0,79
samA,0,53
PSLT056,0,1
PSLT057,0,5
PSLT059,0,8
PSLT060,0,0
PSLT061,0,9
PSLT062,0,0
PSLT063,0,11
PSLT064,0,0
ssbB,0,0
PSLT067,0,20
PSLT068,0,64
psiB,0,72
psiA,0,31
finP,0,3
traM,0,2
traJ,0,0
traY,0,5
traA,0,0
traL,0,4
traE,0,0
traK,0,10
traB,0,6
traP,0,2
trbD,0,0
traV,0,7
traR,0,0
PSLT087,0,5
traC,0,24
trbI,0,3
traW,0,1
traU,0,3
PSLT093,0,0
trbC,0,14
traN,0,23
trbE,0,0
traF,0,3
traQ,0,0
trbB,0,20
traH,0,7
traG,0,54
traS,1,76
traT,0,257
traD,0,63
trbH,0,7
PSLT106,0,91
PSLT107,0,32
traI,0,354
traX,0,96
finO,0,77
thrL,82,50
thrA,578,870
thrB,418,219
thrC,810,427
yaaA,521,55
yaaJ,988,12
talB,7343,1290
mog,906,125
yaaH,3175,270
htgA,99,3
yaaI,44,0
dnaK,5274,4565
dnaJ,1078,692
STM0014,96,9
STM0015,0,0
STM0016,4,0
STM0017,0,0
STM0018,124,23
STM0019,188,11
STM0020,9,8
bcfA,31,5
bcfB,31,0
bcfC,183,7
bcfD,70,2
bcfE,19,0
bcfF,24,0
bcfG,39,0
bcfH,79,37
STM0029,9,0
STM0030,8,0
STM0031,0,0
STM0032,47,6
STM0033,92,2
STM0034,2,5
STM0035,68,15
STM0036,131,10
STM0037,33,3
STM0038,87,10
nhaA,459,296
nhaR,263,213
STM0041,208,13
STM0042,36,3
rpsT,6251,981
yaaY,173,0
ribF,891,116
ileS,5936,2657
lspA,1332,327
slpA,1021,82
lytB,1305,418
STM0050,525,33
rihC,319,87
STM0052,139,0
STM0053,238,6
STM0054,9,0
STM0055,0,0
STM0056,1,3
STM0057,14,2
citC2,13,3
citD2,2,0
citE2,1,10
citF2,15,12
citX2,0,0
citG2,48,4
dapB,418,116
STM0065,21,0
carA,574,47
carB,1708,121
caiF,50,30
caiE,23,2
caiD,22,18
caiC,62,7
caiB,70,1
caiA,39,26
caiT,19,0
fixA,4,3
fixB,7,10
fixC,26,1
fixX,2,3
yaaU,147,34
STM0080,38,0
STM0081,43,4
STM0082,93,0
STM0083,13,0
STM0084,144,3
yabF,19,3
kefC,99,32
folA,536,812
apaH,1185,142
apaG,469,39
ksgA,1576,298
pdxA,1194,398
surA,1935,435
imp,3911,210
djlA,278,20
rluA,957,139
hepA,3131,1171
polB,1413,67
STM0098,41,0
STM0099,0,0
STM0100,20,0
araD,35,63
araA,70,511
araB,50,530
araC,83,9
yabI,224,94
yabJ,214,8
yabK,316,43
tbpA,287,52
yabN,213,23
leuD,228,74
leuC,436,258
leuB,450,184
leuA,935,80
leuL,33,11
leuO,36,8
ilvI,187,88
ilvH,88,20
fruR,1028,153
yabB,846,170
yabC,1037,96
ftsL,182,268
ftsI,1127,315
murE,997,443
murF,1109,262
mraY,1007,287
murD,1438,957
ftsW,998,179
murG,1078,423
murC,1686,304
ddlB,665,425
ftsQ,362,151
ftsA,912,758
ftsZ,2776,1866
lpxC,15709,1727
yacA,1696,54
secA,5472,2267
mutT,162,16
yacG,186,48
yacF,511,75
yacE,271,64
guaC,1260,100
hofC,134,0
hofB,43,0
ppdD,39,0
nadC,668,55
ampD,540,49
ampE,455,57
STM0148,250,29
STM0149,77,28
aroP,299,24
pdhR,13552,124
aceE,37588,1236
aceF,25465,1023
lpdA,22227,1138
STM0155,275,0
STM0156,98,4
yacH,122,0
acnB,5875,492
STM0159,603,4
yacL,211,28
kdgT,26,11
STM0162,18,14
STM0163,49,3
STM0164,469,29
speD,1410,170
speE,1493,218
yacC,448,35
cueO,239,42
gcd,1365,33
hpt,1119,295
yadF,4484,100
yadG,201,95
yadH,151,191
stiH,169,0
stiC,39,0
stiB,13,0
stiA,20,0
yadI,23,0
yadE,370,29
panD,235,50
panC,739,68
panB,529,26
folK,626,32
pcnB,3970,395
yadB,383,38
dksA,2272,601
sfsA,421,22
ligT,163,6
hrpB,712,231
mrcB,1876,379
fhuA,7612,1422
fhuC,1080,1309
fhuD,809,402
fhuB,2095,1092
stfA,36,10
stfC,79,5
stfD,8,1
stfE,2,0
stfF,2,0
stfG,3,1
STM0201,72,7
hemL,928,426
yadQ,212,118
